location,IDPs,Migrants,Host,Refugee,Returnee,Total
YE16113110200,,,5,,,5
YE16113111700,,,5,,,5
YE16112910100,,,5,,,5
YE16112910500,5,,,,,5
YE16112310500,,,5,,,5
YE16112680100,5,,,,,5
YE16112210200,5,,,,,5
YE16112100101,5,,,,,5
YE16112480200,,,5,,,5
YE16112412400,,,5,,,5
YE16102100130,,,10,,,10
YE28042100101,75,0,0,35,45,155
YE28042100140,,,5,,,5
YE28042100150,,,5,,,5
YE28042100160,,,10,,,10
YE28042100170,,,5,,,5
YE28042110100,45,0,10,90,5,150
YE28042110400,5,,5,,5,15
YE28042210700,,,,,15,15
YE28042210600,,,,45,,45
YE28042280600,,,,,5,5
YE28042210100,,,,,5,5
YE28042280100,,,10,,,10
YE28042210500,,,5,,,5
YE28042100180,,,5,,,5
YE28062200103,25,,,,,25
YE28062200102,,,5,,,5
YE28062200101,,,,,5,5
YE28062115500,,,,,5,5
YE28062113000,,,,,5,5
YE28062111100,,,,,10,10
YE28062116500,,,,,5,5
YE28062181500,,,5,,,5
YE28062116300,,,5,,,5
YE28062112700,,,,,5,5
YE28062110700,,,,,5,5
YE28062112600,,,,,5,5
YE28062110900,,,,,5,5
YE28062112900,,,,,10,10
YE28062111800,,,,,5,5
YE28062113400,,,,,5,5
YE28062111500,,,,,5,5
YE28062112800,,,,,5,5
YE28062113300,,,,,5,5
YE28062110400,,,5,,,5
YE28022100100,,,5,,,5
YE28022182000,,,5,,,5
YE28022180100,,,5,,,5
YE28032110200,,,5,,,5
YE28032100101,,,5,,,5
YE28032280500,,,5,,,5
YE28092110300,,,10,,,10
YE28092110700,15,,5,,,20
YE28092110600,,,5,,,5
YE28092110400,,,,,15,15
YE28052110900,,,5,,5,10
YE28052110400,,,,,5,5
YE28052110800,,,5,,,5
YE28052111500,,,5,,,5
YE28052114500,,,,,10,10
YE28082200104,20,,,,5,25
YE28082200105,,,,,5,5
YE28082200103,,,,,5,5
YE28062200130,,,5,,,5
YE28082100130,,,5,,,5
YE28082100140,,,5,,,5
YE28082185400,,,5,,,5
YE28082283000,,,5,,,5
YE28082100150,,,5,,,5
YE28072100103,10,,,,,10
YE28082100160,,,5,,,5
YE28072100105,,,,,15,15
YE28072100170,,,5,,,5
YE28072110100,,,10,,5,15
YE28072100180,,,5,,,5
YE28072280400,,,,,5,5
YE28072210100,5,,5,,,10
YE28012111200,,,5,,,5
YE28012111000,,,5,,,5
YE28012100100,,,5,,,5
YE27042311500,5,,,,,5
YE27042310400,5,,,,,5
YE27042310900,5,,,,,5
YE27043010100,5,,,,,5
YE27042710100,5,,,,,5
YE27043110400,,,5,,,5
YE27043110300,,,10,,,10
YE27042210100,,,5,,,5
YE27042210400,,,5,,,5
YE27042910700,5,,,,,5
YE27042900101,5,,,,,5
YE27042110200,,,5,,,5
YE27093110100,5,,,,,5
YE27092210100,5,,,,,5
YE27093410100,5,,,,,5
YE27093312100,,,5,,,5
YE27093311000,5,,,,,5
YE27092411000,,,5,,,5
YE27093210500,5,,,,,5
YE27093210400,5,,,,,5
YE27093211100,,,5,,,5
YE27092310600,5,,,,,5
YE27092310500,5,,,,,5
YE27093010300,,,5,,,5
YE27092510200,5,,,,,5
YE27092610900,5,,,,,5
YE28072100185,,,5,,,5
YE27082100190,,,5,,,5
YE27082111100,,,5,,,5
YE27082100101,25,,,,,25
YE27032610300,,,5,,,5
YE27032411900,,,5,,,5
YE27032100101,5,,,,,5
YE27033311000,5,,,,,5
YE27033210500,,,5,,,5
YE27033411000,,,5,,,5
YE27032710400,,,5,,,5
YE27032710500,,,5,,,5
YE27032710700,,,5,,,5
YE27033511000,5,,,,,5
YE27022910800,,,5,,,5
YE27022100101,10,,,,,10
YE27022110900,,,5,,,5
YE27082100195,,,5,,,5
YE27022810100,,,5,,,5
YE27022212800,5,,,,,5
YE27022211600,5,,5,,,10
YE27073910800,5,,,,,5
YE27073910600,5,,,,,5
YE27073910900,,,5,,,5
YE27073110100,,,,,15,15
YE27072910300,,,5,,,5
YE27073810500,5,,,,,5
YE27073512700,5,,,,,5
YE27072410400,5,,,,,5
YE27073410600,,,,,5,5
YE27072810100,,,5,,,5
YE27072810400,,,5,,,5
YE27074010500,,,5,,,5
YE27062210200,5,,,,,5
YE27062210900,,,5,,,5
YE27062100101,5,,,,,5
YE27062111000,5,,,,,5
YE27063110900,,,5,,,5
YE27062810900,,,5,,,5
YE27052110200,5,,,,,5
YE27053910300,,,5,,,5
YE27052510300,,,5,,,5
YE27052610500,,,5,,,5
YE27053311600,,,5,,,5
YE27053310300,,,5,,,5
YE27053311400,5,,,,,5
YE27052710300,,,5,,,5
YE27052810200,,,5,,,5
YE27053411000,,,5,,,5
YE27053010200,5,,,,,5
YE27012311300,5,,,,,5
YE27022100130,,,5,,,5
YE27012100101,10,,,,,10
YE27012211600,,,5,,,5
YE27012210500,5,,,,,5
YE27012212400,,,5,,130,135
YE13060310101,,,,10,,10
YE13060110104,,,,,5,5
YE13060710103,,,5,,,5
YE27012100130,,,,5,,5
YE13060710105,,,5,,,5
YE13060710106,5,,,5,10,20
YE13060710107,10,,5,,,15
YE13060410101,5,,,,,5
YE13050710110,,,,,5,5
YE13050610108,,,,5,,5
YE13051010108,5,,,,,5
YE13051410105,,,5,,,5
YE13064400130,,45,,,,45
YE13050110103,,,,,5,5
YE13050710102,,,,,5,5
YE13051010107,,,5,,,5
YE13051010113,,,,5,,5
YE13242100108,,,,15,,15
YE13051210102,5,,5,,,10
YE13050510115,5,,,,,5
YE13051310102,5,,,,,5
YE13050310104,,,5,,,5
YE13051110104,,,,40,15,55
YE13051210106,,,5,,,5
YE13051310107,,,5,,,5
YE13051410101,,,5,,,5
YE13051010105,,,,15,,15
YE13051110101,5,,,,5,10
YE13051110102,,,,,5,5
YE13050710104,,,,,5,5
YE13040310101,5,,,,,5
YE13053400130,,,,25,,25
YE13040310102,,,5,,,5
YE13040110107,5,,,,,5
YE13040510102,5,,,,,5
YE13040310106,,,5,,,5
YE13040210101,,,5,,,5
YE13071010117,,,5,,,5
YE13071210205,,,5,,,5
YE13071010120,,,5,,,5
YE13070910301,,,5,,,5
YE13071010114,5,,,,,5
YE13070810112,5,,,,,5
YE13070910302,10,,,,,10
YE13070810107,,,5,,,5
YE13090210101,10,,,5,,15
YE13090110103,,,,10,,10
YE13090410108,,,,5,,5
YE13090310101,,,5,,,5
YE13090410106,,,5,,,5
YE13090410313,,,5,,,5
YE13091551110,5,,,,,5
YE13091535110,,,,,5,5
YE13091540110,,,5,,,5
YE13091532110,,,,,5,5
YE13043800130,,,5,,,5
YE13091549110,,,,,5,5
YE13091547110,,,,,10,10
YE13092010507,5,,,,,5
YE13090410101,5,,,,,5
YE13030310101,,,5,,20,25
YE13030310104,,,5,,10,15
YE13030410101,5,,,,,5
YE13030410102,5,,,,,5
YE13030410108,5,,,,,5
YE13030510102,5,,,,,5
YE13030510101,,,,,10,10
YE13030310102,5,,5,,5,15
YE13100210102,,,5,,,5
YE13100310116,,,5,,,5
YE13105150110,5,,,,,5
YE13100610110,5,,,,,5
YE13091700130,,,5,,,5
YE13100210112,5,,,,,5
YE13100510122,,,5,,,5
YE13100400170,45,,,,75,120
YE13100600130,20,,,,,20
YE13100610123,15,,,,,15
YE13100610114,,,5,,,5
YE13090410109,,,,,5,5
YE13100210118,5,,,,,5
YE13105147110,5,,,,,5
YE13081110118,5,,5,,,10
YE13080310101,,,5,,,5
YE13100400180,,,5,,,5
YE13081210128,5,,,,,5
YE13080210105,,,5,,,5
YE13081110146,,,5,,,5
YE13080310103,5,,,,,5
YE13080810103,,,5,,,5
YE13087958110,,,5,,,5
YE13081110123,5,,,,,5
YE13080310105,5,,,,,5
YE13087956110,5,,,,,5
YE13080410105,,,5,,,5
YE13080510103,5,,,,,5
YE13080510104,,,,,5,5
YE13080410109,5,,,,,5
YE13081510113,,,,25,,25
YE13087943110,5,,,,,5
YE13017310152,,,5,,,5
YE13017010166,,,5,,,5
YE13017110105,,,5,,,5
YE13017110109,5,,,,,5
YE13016810164,10,,5,,,15
